source;target;edge_type;weight
"Moreau2132_GALLph97";"Moreau2132_GALLph98";"precedence";"1"
"Moreau2132_GALLph98";"Moreau2132_GALLph99";"precedence";"1"
"Moreau2132_GALLph99";"Moreau2132_GALLph100";"precedence";"1"
"Moreau2132_GALLph100";"Moreau2132_GALLph101";"precedence";"1"
"Moreau2132_GALLph101";"Moreau2132_GALLph102";"precedence";"1"
"Moreau2132_GALLph102";"Moreau2132_GALLph103";"precedence";"1"
"Moreau2132_GALLph103";"Moreau2132_GALLph104";"precedence";"1"
"Moreau2188_MAZph0";"Moreau2188_MAZph1";"precedence";"1"
"Moreau2188_MAZph1";"Moreau2188_MAZph2";"precedence";"1"
"Moreau2188_MAZph2";"Moreau2188_MAZph3";"precedence";"1"
"Moreau2188_MAZph3";"Moreau2188_MAZph4";"precedence";"1"
"Moreau2188_MAZph4";"Moreau2188_MAZph5";"precedence";"1"
"Moreau2188_MAZph5";"Moreau2188_MAZph6";"precedence";"1"
"Moreau2188_MAZph6";"Moreau2188_MAZph7";"precedence";"1"
"Moreau2188_MAZph7";"Moreau2188_MAZph8";"precedence";"1"
"Moreau2188_MAZph8";"Moreau2188_MAZph9";"precedence";"1"
"Moreau2188_MAZph9";"Moreau2188_MAZph10";"precedence";"1"
"Moreau2129_GBOOKSph0";"Moreau2129_GBOOKSph1";"precedence";"1"
"Moreau2129_GBOOKSph1";"Moreau2129_GBOOKSph2";"precedence";"1"
"Moreau2129_GBOOKSph2";"Moreau2129_GBOOKSph3";"precedence";"1"
"Moreau2129_GBOOKSph3";"Moreau2129_GBOOKSph4";"precedence";"1"
"Moreau2129_GBOOKSph4";"Moreau2129_GBOOKSph5";"precedence";"1"
"Moreau2129_GBOOKSph5";"Moreau2129_GBOOKSph6";"precedence";"1"
"Moreau2129_GBOOKSph6";"Moreau2129_GBOOKSph7";"precedence";"1"
"Moreau2129_GBOOKSph7";"Moreau2129_GBOOKSph8";"precedence";"1"
"Moreau2129_GBOOKSph8";"Moreau2129_GBOOKSph9";"precedence";"1"
"Moreau2129_GBOOKSph9";"Moreau2129_GBOOKSph10";"precedence";"1"
"Moreau2129_GBOOKSph10";"Moreau2129_GBOOKSph11";"precedence";"1"
"Moreau2129_GBOOKSph11";"Moreau2129_GBOOKSph12";"precedence";"1"
"Moreau2129_GBOOKSph12";"Moreau2129_GBOOKSph13";"precedence";"1"
"Moreau2129_GBOOKSph13";"Moreau2129_GBOOKSph14";"precedence";"1"
"Moreau2129_GBOOKSph14";"Moreau2129_GBOOKSph15";"precedence";"1"
"Moreau2129_GBOOKSph15";"Moreau2129_GBOOKSph16";"precedence";"1"
"Moreau2129_GBOOKSph16";"Moreau2129_GBOOKSph17";"precedence";"1"
"Moreau2129_GBOOKSph17";"Moreau2129_GBOOKSph18";"precedence";"1"
"Moreau2129_GBOOKSph18";"Moreau2129_GBOOKSph19";"precedence";"1"
"Moreau2129_GBOOKSph19";"Moreau2129_GBOOKSph20";"precedence";"1"
"Moreau2129_GBOOKSph20";"Moreau2129_GBOOKSph21";"precedence";"1"
"Moreau2129_GBOOKSph21";"Moreau2129_GBOOKSph22";"precedence";"1"
"Moreau2129_GBOOKSph22";"Moreau2129_GBOOKSph23";"precedence";"1"
"Moreau2129_GBOOKSph23";"Moreau2129_GBOOKSph24";"precedence";"1"
"Moreau2129_GBOOKSph24";"Moreau2129_GBOOKSph25";"precedence";"1"
"Moreau2129_GBOOKSph25";"Moreau2129_GBOOKSph26";"precedence";"1"
"Moreau2129_GBOOKSph26";"Moreau2129_GBOOKSph27";"precedence";"1"
"Moreau2129_GBOOKSph27";"Moreau2129_GBOOKSph28";"precedence";"1"
"Moreau2129_GBOOKSph28";"Moreau2129_GBOOKSph29";"precedence";"1"
"Moreau2129_GBOOKSph29";"Moreau2129_GBOOKSph30";"precedence";"1"
"Moreau2129_GBOOKSph30";"Moreau2129_GBOOKSph31";"precedence";"1"
"Moreau2129_GBOOKSph31";"Moreau2129_GBOOKSph32";"precedence";"1"
"Moreau2129_GBOOKSph32";"Moreau2129_GBOOKSph33";"precedence";"1"
"Moreau2129_GBOOKSph33";"Moreau2129_GBOOKSph34";"precedence";"1"
"Moreau2113_GBOOKSph0";"Moreau2113_GBOOKSph1";"precedence";"1"
"Moreau2113_GBOOKSph1";"Moreau2113_GBOOKSph2";"precedence";"1"
"Moreau2113_GBOOKSph2";"Moreau2113_GBOOKSph3";"precedence";"1"
"Moreau2113_GBOOKSph3";"Moreau2113_GBOOKSph4";"precedence";"1"
"Moreau2113_GBOOKSph4";"Moreau2113_GBOOKSph5";"precedence";"1"
"Moreau2113_GBOOKSph5";"Moreau2113_GBOOKSph6";"precedence";"1"
"Moreau2113_GBOOKSph6";"Moreau2113_GBOOKSph7";"precedence";"1"
"Moreau2113_GBOOKSph7";"Moreau2113_GBOOKSph8";"precedence";"1"
"Moreau2113_GBOOKSph8";"Moreau2113_GBOOKSph9";"precedence";"1"
"Moreau2113_GBOOKSph9";"Moreau2113_GBOOKSph10";"precedence";"1"
"Moreau2113_GBOOKSph10";"Moreau2113_GBOOKSph11";"precedence";"1"
"Moreau2113_GBOOKSph11";"Moreau2113_GBOOKSph12";"precedence";"1"
"Moreau2113_GBOOKSph12";"Moreau2113_GBOOKSph13";"precedence";"1"
"Moreau2113_GBOOKSph13";"Moreau2113_GBOOKSph14";"precedence";"1"
"Moreau2113_GBOOKSph14";"Moreau2113_GBOOKSph15";"precedence";"1"
"Moreau2146_GBOOKSph0";"Moreau2146_GBOOKSph1";"precedence";"1"
"Moreau2146_GBOOKSph1";"Moreau2146_GBOOKSph2";"precedence";"1"
"Moreau2146_GBOOKSph2";"Moreau2146_GBOOKSph3";"precedence";"1"
"Moreau2146_GBOOKSph3";"Moreau2146_GBOOKSph4";"precedence";"1"
"Moreau2146_GBOOKSph4";"Moreau2146_GBOOKSph5";"precedence";"1"
"Moreau2146_GBOOKSph5";"Moreau2146_GBOOKSph6";"precedence";"1"
"Moreau2146_GBOOKSph6";"Moreau2146_GBOOKSph7";"precedence";"1"
"Moreau2146_GBOOKSph7";"Moreau2146_GBOOKSph8";"precedence";"1"
"Moreau2146_GBOOKSph8";"Moreau2146_GBOOKSph9";"precedence";"1"
"Moreau2146_GBOOKSph9";"Moreau2146_GBOOKSph10";"precedence";"1"
"Moreau2146_GBOOKSph10";"Moreau2146_GBOOKSph11";"precedence";"1"
"Moreau2146_GBOOKSph11";"Moreau2146_GBOOKSph12";"precedence";"1"
"Moreau2146_GBOOKSph12";"Moreau2146_GBOOKSph13";"precedence";"1"
"Moreau2146_GBOOKSph13";"Moreau2146_GBOOKSph14";"precedence";"1"
"Moreau2146_GBOOKSph14";"Moreau2146_GBOOKSph15";"precedence";"1"
"Moreau2146_GBOOKSph15";"Moreau2146_GBOOKSph16";"precedence";"1"
"Moreau2146_GBOOKSph16";"Moreau2146_GBOOKSph17";"precedence";"1"
"Moreau2146_GBOOKSph17";"Moreau2146_GBOOKSph18";"precedence";"1"
"Moreau2146_GBOOKSph18";"Moreau2146_GBOOKSph19";"precedence";"1"
"Moreau2146_GBOOKSph19";"Moreau2146_GBOOKSph20";"precedence";"1"
"Moreau2146_GBOOKSph20";"Moreau2146_GBOOKSph21";"precedence";"1"
"Moreau2146_GBOOKSph21";"Moreau2146_GBOOKSph22";"precedence";"1"
"Moreau2168_GBOOKSph0";"Moreau2168_GBOOKSph1";"precedence";"1"
"Moreau2168_GBOOKSph1";"Moreau2168_GBOOKSph2";"precedence";"1"
"Moreau2168_GBOOKSph2";"Moreau2168_GBOOKSph3";"precedence";"1"
"Moreau2168_GBOOKSph3";"Moreau2168_GBOOKSph4";"precedence";"1"
"Moreau2168_GBOOKSph4";"Moreau2168_GBOOKSph5";"precedence";"1"
"Moreau2168_GBOOKSph5";"Moreau2168_GBOOKSph6";"precedence";"1"
"Moreau2168_GBOOKSph6";"Moreau2168_GBOOKSph7";"precedence";"1"
"Moreau2168_GBOOKSph7";"Moreau2168_GBOOKSph8";"precedence";"1"
"Moreau2168_GBOOKSph8";"Moreau2168_GBOOKSph9";"precedence";"1"
"Moreau2168_GBOOKSph9";"Moreau2168_GBOOKSph10";"precedence";"1"
"Moreau2168_GBOOKSph10";"Moreau2168_GBOOKSph11";"precedence";"1"
"Moreau2116_GBOOKSph0";"Moreau2116_GBOOKSph1";"precedence";"1"
"Moreau2116_GBOOKSph1";"Moreau2116_GBOOKSph2";"precedence";"1"
"Moreau2116_GBOOKSph2";"Moreau2116_GBOOKSph3";"precedence";"1"
"Moreau2116_GBOOKSph3";"Moreau2116_GBOOKSph4";"precedence";"1"
"Moreau2116_GBOOKSph4";"Moreau2116_GBOOKSph5";"precedence";"1"
