source;target;weight;sha1;average_hash
lecho_fr;lyonne_fr;3;ee45f54fe69b4bf411b1fcd37a9362dbbc592594;00201c3e7e3c3430
AujourdhuiPress;NewsBKFrance;1;5b1d8c3b18c972ed3b64f359d9471afdb7e4d97f;00246efed9980800
CarineM605;Claire91115602;2;d2cdc9845ff153a41674c74d09ede87770d21b77;003c00007e0024ff
NicoOutai;RegisDegorce;2;44bee7fe4323e957846a0791011fb6957f6c49eb;003c003c0c0000ff
Claire91115602;NicoOutai;1;8b0b8e665fa4cd7906632ee95f2cda02c802dab8;003c003c0c0000ff
Claire91115602;RegisDegorce;1;8b0b8e665fa4cd7906632ee95f2cda02c802dab8;003c003c0c0000ff
Claire91115602;Enfantdabord2;1;886be5d31727fdc7302aea6a51f4e8fbe75d660a;003c181c00327eff
Christine26320;Enfantdabord2;1;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
Christine26320;Claire91115602;1;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
CarineM605;Enfantdabord2;1;d44fafdcafa76752905d411c797845ba370dfc5a;003c181c00327eff
CarineM605;Christine26320;1;d44fafdcafa76752905d411c797845ba370dfc5a;003c181c00327eff
Enfantdabord2;FrFlamand_;2;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
Claire91115602;FrFlamand_;2;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
Christine26320;FrFlamand_;2;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
CarineM605;FrFlamand_;2;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
Enfantdabord2;sylvita30;1;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
Claire91115602;sylvita30;1;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
Christine26320;sylvita30;1;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
CarineM605;sylvita30;1;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
FrFlamand_;sylvita30;2;1413e061e40bc18e613ca03cfee2c4066fd5901e;003c181c00327eff
NicoOutai;orphee45;1;657a6bcfd71e0fc3f1f8b834fb1069aee45c885d;003c3c3c243c04ff
AujourdhuiPress;Boursorama;1;ceb790add98b7dffce4a15193d605d2c255dae6e;003c3e7e7e7e0008
Barbachar;ThillAgnes;2;485fd3e7d8165cde125acc5fa121105a8f3e294b;003f1f1f1f9f9f10
BernardVigneron;GuillaumeS06;1;ad86e145afe6d497d9279479ddf07814a0f24e2f;0050fe6769660000
Yagg_Komitid;komitid_fr;3;5d3278daa2b4b029bb7addffc173525129682882;006464767e7e7e7e
MAQUERONDSPERD;censurehumour;2;d5c72568e318e151281330e7f9bea8a757fb00c3;00646c08667e3c18
Le_BienCommun;manifpourtous92;1;67a919b292d80f1bf1971f329a47b1a953a06438;006e7c747063e000
Edubois56Dubois;margaret_back;2;8d2f7a8a5e38e2adaf16383106c8332226f8ecd5;00787e267e0e0eff
Edubois56Dubois;camille1948;2;27d72e08feca580c8ac91ccf3cf18f11cb92d207;00787e267e0e0eff
camille1948;margaret_back;1;27d72e08feca580c8ac91ccf3cf18f11cb92d207;00787e267e0e0eff
AugustaCrochet;Edubois56Dubois;2;fab6eae65a8b29293159432367181a3a66a278c5;00787e267e0e0eff
AugustaCrochet;margaret_back;1;fab6eae65a8b29293159432367181a3a66a278c5;00787e267e0e0eff
AugustaCrochet;camille1948;1;fab6eae65a8b29293159432367181a3a66a278c5;00787e267e0e0eff
HommeNouveau_HN;LMPT53;1;d79bd4380ab2b577bebfa7f8b2b5e108f1d75894;0078ec767e1cf060
louise1102;mercy0011;4;87e8900b8a492bce06a8f48aa79bfca890319dc6;007bfbf901117060
AllianceVITA63;DavidG50_;2;87d1774d733b911859116873fe7fdbf9268dd8fa;007e7f7d2c381008
DavidG50_;axelrokvam;2;6b070a804b5626bfcdb1330eeed001a2e90612d3;007e7f7d2c381008
AllianceVITA63;axelrokvam;1;6b070a804b5626bfcdb1330eeed001a2e90612d3;007e7f7d2c381008
Defrenois;Lextenso_ed;1;3cac0e5ff1cfede624aeecce5cbaa78c7d1bd4bc;007fff9bf99fff0c
AIM_fra;JenaS_elle;2;f3b5f0d95dec096b42ad7cf5b7e3bb97a7a4789e;00c3fdf9ff879f00
Valeurs;me_guill;1;3100767a0080be44f765523f1f360af648ca86d4;00c6d0f6e2e0f0e0
AFCdu94;erouxel;1;dadcd473afbef8bd490b679cf2dd042ac00a8988;00e0ff2fe7e763e3
franceinfo;kled;2;9d7c33c905d058c21b078cd3be52f9fc174f6c47;00e56c0caffe050f
GLarrive;kstelkeeper;2;2636212758ac725c0583cc72e1523d76855ce904;00efc3c3c3ffc7c3
IRFMx;axelrokvam;1;67c95ca55f84747b82f8bdafaab09c129bfa6d6f;00f0f0e44e1e0c00
Anne_Hidalgo;axelrokvam;1;67c95ca55f84747b82f8bdafaab09c129bfa6d6f;00f0f0e44e1e0c00
axelrokvam;de_Bevec;1;67c95ca55f84747b82f8bdafaab09c129bfa6d6f;00f0f0e44e1e0c00
axelrokvam;pascalforeau;2;67c95ca55f84747b82f8bdafaab09c129bfa6d6f;00f0f0e44e1e0c00
Celesthein;NPOMMERET;1;902b5b6fc9634335888db2dbbdbcd8bf250630e4;00fdff7f7fffe700
F24videos;Mag_Antidote;1;2432c2d7e069223a18abb4dc3c366490af89be6a;00fe0e00ce7ce040
LaCroix;titrespresse;2;c932eddfe98833adb13154f8611d1f6244cbc31c;00ff87879f1b1303
AFCBD;CharlesPrats;1;395ce6a79a8ea09e6d22fc1eed9d0342777eeb95;00ffffe7e7c3e77f
laprovence;titrespresse;1;805a6e880768b2dfce68e42f0a28bf3d70ab5524;00fffffff0001fff
laprovence;orangenewsfr;2;b9fc612ce7c77271400179410bc9e271980ca0b3;00fffffff0001fff
paris_2015;titrespresse;1;d4b0c87e8be930227e2c115eeffcd54cfed67487;00fffffff0001fff
laprovence;paris_2015;1;d4b0c87e8be930227e2c115eeffcd54cfed67487;00fffffff0001fff
orangenewsfr;paris_2015;2;d4b0c87e8be930227e2c115eeffcd54cfed67487;00fffffff0001fff
ThillAgnes;manifpourtous92;1;de8be9aa4804dfa421220e23bbb4911a1d7a254e;00ffffffff010000
ayamail41;isthisparadoxs;1;1592bce8c8c00704bf07090eb425639947521254;00ffffffffff0000
Nahele75;jcourduries;1;4bbc946b92e28c23a9f6ecf1e073dcabfe73df85;00ffffffffffff00
SOShomophobie;jcourduries;1;3d3fb7680add70bfaa3d3531b2b56d459b013877;00ffffffffffff00
Nahele75;SOShomophobie;1;3d3fb7680add70bfaa3d3531b2b56d459b013877;00ffffffffffff00
RTenfrancais;pausefun;3;47874d653df7c3e71f28e075e911fbda9ade2f21;01006626e6fee7fe
RTenfrancais;me_guill;3;ef3c051adaf563cc303842922b5d0d024a622fd1;01006626e6fee7fe
me_guill;pausefun;1;ef3c051adaf563cc303842922b5d0d024a622fd1;01006626e6fee7fe
CNAFC;GregoireFlichy;1;5f83ccd46154552bfabfd4fd121479d6940b2ea7;0105ff030303fbf1
GeorgSamel;Limportant_fr;3;8b4683b922db0173cc79588b44e78cdbd57dc115;010d1f1f1f0f1104
GeorgSamel;bulgarie;2;0bcfbdfbe277420f90aef7bcc8509cb8cd4b0398;010d1f1f1f0f1104
Limportant_fr;bulgarie;4;0bcfbdfbe277420f90aef7bcc8509cb8cd4b0398;010d1f1f1f0f1104
GeorgSamel;lepetitjournal;1;8560f7a86c9b3b8b3c68493cf4ed59d83a6df25c;010d1f1f1f0f1104
Limportant_fr;lepetitjournal;2;8560f7a86c9b3b8b3c68493cf4ed59d83a6df25c;010d1f1f1f0f1104
bulgarie;lepetitjournal;2;8560f7a86c9b3b8b3c68493cf4ed59d83a6df25c;010d1f1f1f0f1104
AFCdu94;Enfantdabord2;44;ea0da6540f84c9d818ed1b92555c3b034588c1ca;013c7e7e0034fe80
Enfantdabord2;LMPT44;5;ea0da6540f84c9d818ed1b92555c3b034588c1ca;013c7e7e0034fe80
AFCdu94;LMPT44;8;ea0da6540f84c9d818ed1b92555c3b034588c1ca;013c7e7e0034fe80
News_Actu;prinkpc5;1;79cb037703891fe29d171d4f3404751c4867d707;0191933f6f7f0200
prinkpc5;titrespresse;1;79cb037703891fe29d171d4f3404751c4867d707;0191933f6f7f0200
ManifPourTous78;SensCommun78;2;01d99a33cf2a18c1ad76d0e300c01c3ce65dd754;01e5a101efef019f
MJS_06;mjsloiret;1;514d99d59a32ff98ecf08c04f36390d6092d4f97;01ff7e1818203031
mjsloiret;sami_hmissi;1;514d99d59a32ff98ecf08c04f36390d6092d4f97;01ff7e1818203031
MJS_06;sami_hmissi;1;514d99d59a32ff98ecf08c04f36390d6092d4f97;01ff7e1818203031
SOShomophobie;hirodid;1;01fba56ef66656f1c8501dff1233856374696da3;02f7ffff7c600000
RTenfrancais;smj1er;1;b27899b251d128767101c5279942baa9e59fcc8b;0301013d3c01cf8f
EPOCNEWS;stephmolliex;1;5b01a1a4e8b8f16ef2dbac7c4c69d0d26e497e58;030b1b1f9fc3c3f1
EPOCNEWS;paris_2015;2;5b01a1a4e8b8f16ef2dbac7c4c69d0d26e497e58;030b1b1f9fc3c3f1
paris_2015;stephmolliex;1;5b01a1a4e8b8f16ef2dbac7c4c69d0d26e497e58;030b1b1f9fc3c3f1
FCconferences;franceculture;1;a1901f72d8e75bc8dca4616cd24e097bb343c36a;0381e1c1c3e7e7fb
dakarxibar;senactu7com;1;ea00a5fcd3a4943b6166a0245b5d43b8b6d421d7;04003a7b3f9fdefe
AllianceVITA63;MarcPiguel;2;b57353eb5db5980210687f1f85fa57e0e2d141c2;040e0efefe6c6820
IRFMx;MarcPiguel;1;b57353eb5db5980210687f1f85fa57e0e2d141c2;040e0efefe6c6820
MarcPiguel;de_Bevec;1;b57353eb5db5980210687f1f85fa57e0e2d141c2;040e0efefe6c6820
MarcPiguel;ReySacha1;1;b57353eb5db5980210687f1f85fa57e0e2d141c2;040e0efefe6c6820
MarcPiguel;pascalforeau;2;b57353eb5db5980210687f1f85fa57e0e2d141c2;040e0efefe6c6820
Anne_Hidalgo;MarcPiguel;1;b57353eb5db5980210687f1f85fa57e0e2d141c2;040e0efefe6c6820
pausefun;stopmensonges;1;bf54b9e4f289932d1c53f4b98448ebb9c4130c87;0707070f0f0f0fc7
DotationLGBT;contactADHEOS;12;cb643969a36982bc8f68409e05a52077d87b0ac2;07078fc667670703
lejdc_fr;lepopulaire_fr;2;3713a14a9011e17e92cbc5b4dbd9d92cda3bdff1;070fcfcf8f0fc5c5
lecho_fr;lepopulaire_fr;1;3713a14a9011e17e92cbc5b4dbd9d92cda3bdff1;070fcfcf8f0fc5c5
lepopulaire_fr;lyonne_fr;1;3713a14a9011e17e92cbc5b4dbd9d92cda3bdff1;070fcfcf8f0fc5c5
DFrauveau970;belindageoly;3;e242a2432f011189b8e83e7f06b1f566723ba954;07fff7f3f3732100
Valeurs;belindageoly;1;7b8f42ca967ddad7b8394ba2451d78e552d04e1c;07fff7f3f3732100
DFrauveau970;Valeurs;2;7b8f42ca967ddad7b8394ba2451d78e552d04e1c;07fff7f3f3732100
ASaulieu;MeunierElisabe1;1;6ce5f6aadc1738a16605d1aa8e47db24dd73dbb8;0800fe00027e50ff
Medadom75;lemondefr;1;ad34d848edebad3eae43cbea999ca76bea23c22c;080c0cfc7fde1c1e
MegaSuperLarge;Nice_Matin;8;0162aae53270c1820970be6ce1eadb5e10864ad3;0818183c3e3e3e3e
MegaSuperLarge;Var_Matin;2;0162aae53270c1820970be6ce1eadb5e10864ad3;0818183c3e3e3e3e
Nice_Matin;Var_Matin;3;0162aae53270c1820970be6ce1eadb5e10864ad3;0818183c3e3e3e3e
24matins;BelgicaNews;1;6c1d9da3f49adf965fdeed0a81020dfd1ea7f426;0860001018ccefee
BFMTV;BelgicaNews;1;a4caa8b9e3b5cf9acd17e8d308ad0c73f78912f2;0860001018ccefee
24matins;BFMTV;1;a4caa8b9e3b5cf9acd17e8d308ad0c73f78912f2;0860001018ccefee
AujourdhuiPress;BelgicaNews;1;76df592783f100d4431eab05991d9463c572f2f9;0860001018ccefee
24matins;AujourdhuiPress;1;76df592783f100d4431eab05991d9463c572f2f9;0860001018ccefee
AujourdhuiPress;BFMTV;2;76df592783f100d4431eab05991d9463c572f2f9;0860001018ccefee
IsabelleSurply;Lycaon65659076;1;40d85ca014fc752ee51220cab07da58e9f6107fc;08ff7a52fe32f600
LouisMenard29;titrespresse;2;727accfb869c59640cff5935a073b250978d4c46;0a011050f4ecfc7e
LCI;TF1LeJT;3;40fe86c8a93aff9d54e93314783c6e08e603eb2e;0a181818181c3e3e
TullusHostiliu1;jerome4413;1;50d67bb6cc6e3585fd662f861f462682e2fd4139;0c0860fef765e020
VoxPop_ARTE;jclvallee1;1;690337eaf4b7f5a39b6b620ff500cedc7c1bd982;0cfd1d3d3df9c141
lobs;lorentzmoreau;1;6d726949c23cfd89c97d212a408ed487c14a1b40;0dc500c0e56c7cff
Polynesiela1ere;cigognesespoir;1;ecbca02ddf1f367b51366895c9f2293570af006d;0e0e0e1e1c180000
Polynesiela1ere;limportante_fr;1;6cf3a7fd0702519825abdf4e0f634aca6caf43c7;0e0e0e1e1c180000
cigognesespoir;limportante_fr;1;6cf3a7fd0702519825abdf4e0f634aca6caf43c7;0e0e0e1e1c180000
LaManifPourTous;ManifPourTous85;2;10088fb8942f997f7081173c6424ecdf7323579d;0f0f0f0f0f0f0fcf
