Source;Target;LinkType;Weight;AverageHash;Sha1;Category
dede17_86;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
dede17_86;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;dede17_86;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
hamalus;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Barberis888;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Foulisou;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
PGannat;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
hamalus;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
abbealdric;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
hamalus;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
hamalus;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
hamalus;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Frugheon_D;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
LouiseM71493518;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
Enfantdabord2;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
dede17_86;hamalus;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;xarratt;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;Barberis888;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;Foulisou;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;PGannat;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;wvonpikkendorf;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;abbealdric;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;jeanclaudepeyra;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;lollimeur;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;nathalielavi;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
AberlinJacklyne;Frugheon_D;share;1;00c6d0f6e2e0f0e0;None; barcode_baby
