Source;Target;TypeLien;Weight;AverageHash
VotezPoisson;JaiRaison;Partage;0.1;0003330301727ffe
VotezPoisson;jechu00;Partage;0.1;0003330301727ffe
VotezPoisson;tof92130;Partage;0.1;0003330301727ffe
VotezPoisson;resistance3522;Partage;0.1;0003330301727ffe
VotezPoisson;jmifaure;Partage;0.1;0003330301727ffe
VotezPoisson;frantztoussaint;Follow;1;
VotezPoisson;OnNaQuUneMaman;Follow;1;
VotezPoisson;JuristePLE;Follow;1;
VotezPoisson;archazh;Follow;1;
VotezPoisson;BarbaraMazieres;Follow;1;
VotezPoisson;vaubandaniel;Follow;1;
VotezPoisson;albdmt;Follow;1;
VotezPoisson;LMPT53;Follow;1;
VotezPoisson;lmpt69;Follow;1;
VotezPoisson;manifpourtous22;Follow;1;
VotezPoisson;ChTailllebois;Follow;1;
antoinne92;jechu00;Partage;0.1;0003330301727ffe
antoinne92;tof92130;Partage;0.1;0003330301727ffe
antoinne92;ViveCatholique;Follow;1;
antoinne92;Varac_a;Follow;1;
antoinne92;MereTapdur;Follow;1;
antoinne92;BGuirlet;Follow;1;
antoinne92;noe22349;Follow;1;
antoinne92;CollagesPro;Follow;1;
antoinne92;Fr1Grossouvre;Follow;1;
antoinne92;Marchonsenfant;Follow;1;
antoinne92;LaPoitou;Follow;1;
antoinne92;manifpourtous31;Follow;1;
antoinne92;LeonTologue;Follow;1;
antoinne92;pierredejaspe;Follow;1;
antoinne92;frantztoussaint;Follow;1;
antoinne92;geraud4315;Follow;1;
antoinne92;Eperviet;Follow;1;
antoinne92;monde_madame;Follow;1;
antoinne92;InformateurDab;Follow;1;
antoinne92;LaManifPrTous37;Follow;1;
antoinne92;JeanMarcVILLER;Follow;1;
antoinne92;fidegarne;Follow;1;
antoinne92;Forvent1;Follow;1;
antoinne92;louveshinegmai1;Follow;1;
antoinne92;jmifaure;Follow;1;
antoinne92;codicille;Follow;1;
antoinne92;manifpourtous11;Follow;1;
antoinne92;DomenachMaitena;Follow;1;
antoinne92;AudeMirkovic;Follow;1;
antoinne92;BrenKavan;Follow;1;
antoinne92;Jean_DAlbret;Follow;1;
antoinne92;Andrgilles1;Follow;1;
antoinne92;2eme_DB;Follow;1;
antoinne92;MichelNicolasA1;Follow;1;
antoinne92;lmpt63;Follow;1;
antoinne92;procedit;Follow;1;
