Source;Target;LinkType;Weight;AverageHash;Sha1;Category
Sentinelles16;elleaime53;follow;0.1;None;None; None
elleaime53;le_Parisien;follow;0.1;None;None; None
LaManifPrTous37;elleaime53;follow;0.2;None;None; None
JacquesRobidel;elleaime53;follow;0.1;None;None; None
AllianceVita49;elleaime53;follow;0.2;None;None; None
RichardHilton15;elleaime53;follow;0.2;None;None; None
elleaime53;frantztoussaint;follow;0.1;None;None; None
HenrideSoos;elleaime53;follow;0.1;None;None; None
Omnia_Somnia;elleaime53;follow;0.1;None;None; None
LeonTologue;elleaime53;follow;0.2;None;None; None
cpdh_eu;elleaime53;follow;0.1;None;None; None
LMPTMaroc;elleaime53;follow;0.1;None;None; None
MPTIreland;elleaime53;follow;0.1;None;None; None
elleaime53;y_a_de_la_Joie_;follow;0.1;None;None; None
LMPT57;elleaime53;follow;0.1;None;None; None
AudeMirkovic;elleaime53;follow;0.1;None;None; None
Valeurs;elleaime53;follow;0.1;None;None; None
antoinne92;elleaime53;follow;0.2;None;None; None
JeanMarcVILLER;elleaime53;follow;0.1;None;None; None
elleaime53;manifpourtous31;follow;0.1;None;None; None
O_N_L_R;elleaime53;follow;0.1;None;None; None
elleaime53;jocelynchereau;follow;0.1;None;None; None
PA_MCO;elleaime53;follow;0.1;None;None; None
MPTOnlacherien;elleaime53;follow;0.1;None;None; None
MargottinSylvi1;elleaime53;follow;0.2;None;None; None
YvesPDB;elleaime53;follow;0.1;None;None; None
elleaime53;pbaucheron;follow;0.1;None;None; None
DaViciDaVici;elleaime53;follow;0.2;None;None; None
Rpr5019;elleaime53;follow;0.1;None;None; None
OliberBox;elleaime53;follow;0.1;None;None; None
InformateurDab;elleaime53;follow;0.1;None;None; None
elleaime53;josephinemd34;follow;0.1;None;None; None
Couramiaous;elleaime53;follow;0.1;None;None; None
elleaime53;erybbbs;follow;0.1;None;None; None
citoyenpourlenf;elleaime53;follow;0.1;None;None; None
elleaime53;manifpourtous92;follow;0.2;None;None; None
SALONJP;elleaime53;follow;0.1;None;None; None
elleaime53;mej31600;follow;0.2;None;None; None
AberlinJacklyne;elleaime53;follow;0.2;None;None; None
elleaime53;mplecat22;follow;0.1;None;None; None
elleaime53;ops78v;follow;0.1;None;None; None
elleaime53;marielaurevs;follow;0.1;None;None; None
Francoiszero2;elleaime53;follow;0.2;None;None; None
Thompson_2017;elleaime53;follow;0.1;None;None; None
elleaime53;fxperes;follow;0.1;None;None; None
colerenoire;elleaime53;follow;0.2;None;None; None
A_duChambon;elleaime53;follow;0.1;None;None; None
elleaime53;jylegis2017;follow;0.2;None;None; None
SJallamion;elleaime53;follow;0.1;None;None; None
elleaime53;lmpt69;follow;0.2;None;None; None
DejanteDu44;elleaime53;follow;0.2;None;None; None
PhilippeOswald;elleaime53;follow;0.1;None;None; None
elleaime53;veilleursdePau;follow;0.1;None;None; None
elleaime53;mh_flo;follow;0.2;None;None; None
elleaime53;piert83;follow;0.1;None;None; None
FredRob_PCD92;elleaime53;follow;0.1;None;None; None
coolise;elleaime53;follow;0.1;None;None; None
AllianceVITA63;LaManifPourTous;follow;0.1;None;None; None
AllianceVITA63;isabelledacrew;follow;0.2;None;None; None
AllianceVITA63;isabsavoie;follow;0.2;None;None; None
AllianceVITA63;JeanMarcVILLER;follow;0.2;None;None; None
AllianceVITA63;CarolineRoux1;follow;0.1;None;None; None
AllianceVITA63;kzaty;follow;0.2;None;None; None
AllianceVITA63;HenrideSoos;follow;0.2;None;None; None
AllianceVITA63;allianceVITA;follow;0.2;None;None; None
ArjPascal;antoinne92;follow;0.1;None;None; None
antoinne92;popoche69008;follow;0.2;None;None; None
antoinne92;procedit;follow;0.1;None;None; None
antoinne92;patricia691503;follow;0.2;None;None; None
Manifpourtous74;antoinne92;follow;0.2;None;None; None
PhilMargay;antoinne92;follow;0.2;None;None; None
antoinne92;npommeret1;follow;0.2;None;None; None
